Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,core_risk_off,option_risk_off,condition_score,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2025-07-14,554.85107421875,17.200000762939453,0.0036269180646839594,0.12620219925855652,-0.8956411788697154,526.1618323705788,498.0596071985981,False,False,0,False,True,1.0,0.0,0.0036269180646839594,0.0036269180646839594,0.6057906732280729,2.660132029536961
2025-07-15,555.3598022460938,17.3799991607666,0.000916873105202276,0.1138253873366375,-1.0009327985212915,527.3068507970696,498.62975839310053,False,False,0,False,True,1.0,0.0,0.000916873105202276,0.000916873105202276,0.6063461064037381,2.6625710330511305
2025-07-16,555.9284057617188,17.15999984741211,0.0010238470867451888,0.10612076978785195,-1.0654235334928475,528.429264717252,499.1998941878132,False,False,0,False,True,1.0,0.0,0.0010238470867451888,0.0010238470867451888,0.6069669120983389,2.665297098646572
2025-07-17,560.4273681640625,16.520000457763672,0.008092701066748642,0.09809594162402,-1.1319675127902116,529.6840923034014,499.8091227845918,False,False,0,False,True,1.0,0.0,0.008092701066748642,0.008092701066748642,0.6118789138753582,2.686866551319991
2025-07-18,559.8887329101562,16.40999984741211,-0.0009611151854892475,0.09848283734325819,-1.1259135296420122,530.8685880134702,500.4069298505178,False,False,0,False,True,1.0,0.0,-0.0009611151854892475,-0.0009611151854892475,0.6112908277595519,2.6842841630761343
2025-07-21,562.7916259765625,16.649999618530273,0.005184767786480915,0.09502635109180585,-1.1506694843162053,532.1204718551602,501.0276730955531,False,False,0,False,True,1.0,0.0,0.005184767786480915,0.005184767786480915,0.6144602287514909,2.6982015531346124
2025-07-22,559.8787841796875,16.5,-0.005175702093684453,0.09623369630394249,-1.1353687076723482,533.2090331227887,501.6132562904201,False,False,0,False,True,1.0,0.0,-0.005175702093684453,-0.005175702093684453,0.611279965659056,2.684236465706871
2025-07-23,562.4324951171875,15.369999885559082,0.004561185402375267,0.08447550971046658,-1.2301553236264,534.3550512402161,502.21842284591037,False,False,0,False,True,1.0,0.0,0.004561185402375267,0.004561185402375267,0.6140681269151845,2.6964797658907766
2025-07-24,563.6295776367188,15.390000343322754,0.002128402128120044,0.08446479023656008,-1.2237546662073353,535.5030718832162,502.8294791124856,False,False,0,False,True,1.0,0.0,0.002128402128120044,0.002128402128120044,0.6153751108233215,2.702218959162931
2025-07-25,564.9862670898438,14.930000305175781,0.0024070586551074857,0.08012268606418181,-1.2541568815364337,536.6592756168094,503.4479546147479,False,False,0,False,True,1.0,0.0,0.0024070586551074857,0.0024070586551074857,0.6168563548099665,2.7087233586965795
2025-07-28,566.7518920898438,15.029999732971191,0.003125075958207768,0.0800506909714417,-1.2464285668179191,537.8393782235951,504.0778445398733,False,False,0,False,True,1.0,0.0,0.003125075958207768,0.003125075958207768,0.6187840777740508,2.717188324942278
2025-07-29,565.8740844726562,15.979999542236328,-0.0015488393235895126,0.07890604580637194,-1.2476840143446357,538.9387784686563,504.6927324994035,False,False,0,False,True,1.0,0.0,-0.0015488393235895126,-0.0015488393235895126,0.6178256806615833,2.712979836815009
2025-07-30,566.6322631835938,15.479999542236328,0.0013398364260559514,0.0698510629125496,-1.3147368388352414,540.0247974770853,505.3090462375547,False,False,0,False,True,1.0,0.0,0.0013398364260559514,0.0013398364260559514,0.6186534660134865,2.7166147860235292
2025-07-31,563.6295776367188,16.719999313354492,-0.005299178571309349,0.07159344698704137,-1.290801845936814,540.9504751304042,505.88935003257126,False,False,0,False,True,1.0,0.0,-0.005299178571309349,-0.005299178571309349,0.6153751108233215,2.702218959162931
2025-08-01,552.5267333984375,20.3799991607666,-0.019698831783873216,0.09703367237245299,-1.0704014120068062,541.4044460428762,506.3534035984008,True,False,0,True,False,1.0,0.0,-0.019698831783873216,-0.019698831783873216,0.6032529400312305,2.6489884024431873
2025-08-04,562.7218017578125,17.520000457763672,0.018451719605797168,0.11341863099593202,-0.927087710222395,542.2404207767953,506.9142831820766,False,False,0,False,True,-1.0,2.0,-0.018931084685162247,0.018451719605797168,0.5918327075369262,2.6978667936840774
2025-08-05,558.901123046875,17.850000381469727,-0.006789640456443258,0.11683715565176866,-0.8925759068371505,542.8937816501318,507.4315651707811,False,False,0,False,True,1.0,2.0,-0.007189640456443258,-0.006789640456443258,0.5875776431593723,2.679549248155585
2025-08-06,565.9339599609375,16.770000457763672,0.012583329365528417,0.12230465161526509,-0.8412787768284538,543.7973180544772,508.0136785517777,False,False,0,False,True,1.0,0.0,0.012583329365528417,0.012583329365528417,0.5949713261710676,2.713266898896281
2025-08-07,567.8491821289062,16.56999969482422,0.0033841796101101718,0.12222014186468581,-0.8361182570043335,544.7405284103371,508.60905669682376,False,False,0,False,True,1.0,0.0,0.0033841796101101718,0.0033841796101101718,0.596984816001696,2.7224490814123126
2025-08-08,573.146240234375,15.149999618530273,0.009328283410763527,0.12470083753890773,-0.809653892023555,545.8544778936327,509.2512177270482,False,False,0,False,True,1.0,0.0,0.009328283410763527,0.009328283410763527,0.6025536595572822,2.7478448580150996
2025-08-11,571.4503784179688,16.25,-0.0029588640688156254,0.12563273355165874,-0.7963418673634473,546.8582386985087,509.8701148483509,False,False,0,False,True,1.0,0.0,-0.0029588640688156254,-0.0029588640688156254,0.6007707851844848,2.739714358598039
2025-08-12,578.6328125,14.729999542236328,0.012568779990863588,0.13157713891742154,-0.7411884855961053,548.1043004162142,510.5543207951335,False,False,0,False,True,1.0,0.0,0.012568779990863588,0.012568779990863588,0.608321741008407,2.774149225609068
2025-08-13,578.922119140625,14.489999771118164,0.0004999831229326457,0.13164642028037435,-0.7349764167731881,549.3128423269754,511.23459739558615,False,False,0,False,True,1.0,0.0,0.0004999831229326457,0.0004999831229326457,0.6086258916122241,2.775536253402369
2025-08-14,578.4732666015625,14.829999923706055,-0.0007753245630496286,0.130010887797877,-0.7428876523132671,550.4563883769592,511.90363888022273,False,False,0,False,True,1.0,0.0,-0.0007753245630496286,-0.0007753245630496286,0.6081540090087492,2.7733843119694717
2025-08-15,575.929443359375,15.09000015258789,-0.00439747761747411,0.13147887125751143,-0.7248059257413078,551.455331709603,512.5407115616074,False,False,0,False,True,1.0,0.0,-0.00439747761747411,-0.00439747761747411,0.605479665366156,2.761188416532932
2025-08-18,575.699951171875,14.989999771118164,-0.00039847274721949155,0.13086533818601248,-0.7242703922118789,552.4061011002804,513.1691617069832,False,False,0,False,True,1.0,0.0,-0.00039847274721949155,-0.00039847274721949155,0.6052383982205121,2.7600881581990055
2025-08-19,567.88916015625,15.569999694824219,-0.013567468608822408,0.13937325050277824,-0.6480590377389801,553.013279886789,513.7136393034933,False,False,0,False,True,1.0,0.0,-0.013567468608822408,-0.013567468608822408,0.5970268452518013,2.722640748755058
2025-08-20,564.5174560546875,15.6899995803833,-0.005937257370143834,0.14054002814359856,-0.6329883166508673,553.464424050236,514.2191499179331,False,False,0,False,True,1.0,0.0,-0.005937257370143834,-0.005937257370143834,0.5934821432146563,2.706475729903258
2025-08-21,561.90380859375,16.600000381469727,-0.0046298789043722754,0.14136929948154717,-0.6207909295424515,553.7953803068443,514.693624133613,False,False,0,False,True,1.0,0.0,-0.0046298789043722754,-0.0046298789043722754,0.5907343927596651,2.6939450750161833
2025-08-22,570.5725708007812,14.220000267028809,0.015427484338869535,0.15163336819496623,-0.5304510536326538,554.4533093458223,515.2496335531868,False,False,0,False,True,1.0,0.0,0.015427484338869535,0.015427484338869535,0.5998479383523965,2.73550587047077
2025-08-25,568.9265747070312,14.789999961853027,-0.002884814619531939,0.1517726054148836,-0.5250896145302902,555.0208883795952,515.7837324701404,False,False,0,False,True,1.0,0.0,-0.002884814619531939,-0.002884814619531939,0.5981174882503414,2.7276144431438203
2025-08-26,571.2109985351562,14.619999885559082,0.004015322766916629,0.1521898411789162,-0.5173550396985102,555.6557946602055,516.3352475553645,False,False,0,False,True,1.0,0.0,0.004015322766916629,0.004015322766916629,0.600519123018204,2.7385666955167465
2025-08-27,572.0888671875,14.850000381469727,0.0015368553031980259,0.1522056424663891,-0.5129690524908367,556.3002288769621,516.8900099397639,False,False,0,False,True,1.0,0.0,0.0015368553031980259,0.0015368553031980259,0.6014420340170863,2.742775476265913
2025-08-28,575.6701049804688,14.430000305175781,0.0062599326754508855,0.15187133195692648,-0.5114263139564721,557.0598318614134,517.4748865073332,False,False,0,False,True,1.0,0.0,0.0062599326754508855,0.0062599326754508855,0.6052070206582195,2.7599450660912153
